id,population
BE,12852
FR,625
BG,8
BB,3
BO,1
JP,301
BF,9
BJ,10
JM,1
BW,267
BR,133
FI,3
FJ,9
FK,5
RU,511
RW,2
NL,136
NO,33
NA,391
NG,106
NZ,37
MZ,186.059
RO,13
CI,64
CH,1709
CO,1
GR,5
GQ,43
CA,17696
CG,8
CF,101
CD,7113
CZ,14
XX,275
GB,12024
GA,3154
GN,12
GL,512
TD,1
GH,17
CM,338.6
KE,31
SK,11
KR,6
KP,2
KW,3
AO,379
SL,2
SG,27
SE,9
SD,18
DK,103
HR,6
DE,349
HU,2
HK,27493.65
KG,1
CN,1275
LB,2
PW,4
PT,6
LA,51
TW,143.5
TT,23
TR,4
LK,2
TN,2
PC,2
LU,2
PG,72011
TH,14
PE,1
TG,4
PH,12
EG,19
UA,1
ZM,1286
VE,9
EE,41
IS,3
ZA,5720
VN,9
IT,32
AR,149
AU,2145
AT,34
IN,33
ET,33
AZ,1
IE,24
ID,311.3
ES,54
ZW,5235.3
MA,2
MC,1
MM,6
ML,1
MN,47
CY,2
US,3090
MT,2
MW,1755.3
UG,3748
TZ,42444
MY,25
MX,72
IL,16
